city,region,postings,home_office_postings,postings_with_salary,median_salary_from
Berlin,BERLIN,48,8,4,60000
Frankfurt am Main,HESSEN,26,4,2,64500
Hamburg,HAMBURG,26,9,1,80000
München,BAYERN,22,4,3,45000
Berlin,,20,2,0,
Köln,NORDRHEIN_WESTFALEN,19,0,2,54000
Stuttgart,BADEN_WUERTTEMBERG,17,3,0,
Dresden,SACHSEN,14,2,1,75000
Düsseldorf,NORDRHEIN_WESTFALEN,13,1,3,70000
München,,13,0,0,
Erlangen,BAYERN,12,0,3,70000
Unknown,,12,2,1,70000
Donauwörth,BAYERN,10,0,3,56000
"Essen, Ruhr",NORDRHEIN_WESTFALEN,10,2,0,
Leipzig,SACHSEN,10,1,0,
"Nürnberg, Mittelfranken",BAYERN,10,2,1,50000
Bonn,NORDRHEIN_WESTFALEN,9,2,0,
Duisburg,NORDRHEIN_WESTFALEN,7,0,2,62500
"Karlsruhe, Baden",BADEN_WUERTTEMBERG,7,0,3,70000
Munich,,7,0,0,
Hamburg,,6,0,0,
Burgwedel,NIEDERSACHSEN,5,2,0,
Hannover,NIEDERSACHSEN,5,3,0,
Mannheim,BADEN_WUERTTEMBERG,5,0,1,70000
"Münster, Westfalen",NORDRHEIN_WESTFALEN,5,3,0,
"Berlin, Germany",,4,0,0,
Osnabrück,NIEDERSACHSEN,4,1,2,59500
"Ulm, Donau",BADEN_WUERTTEMBERG,4,1,0,
Bremen,BREMEN,3,0,0,
"Chemnitz, Sachsen",SACHSEN,3,1,0,
Dortmund,NORDRHEIN_WESTFALEN,3,0,0,
"Eschborn, Taunus",HESSEN,3,0,0,
Frankfurt am Main,,3,1,0,
"Hemmingen, Württemberg",BADEN_WUERTTEMBERG,3,1,0,
"Kassel, Hessen",HESSEN,3,1,0,
Köln,,3,0,0,
Oberkochen,BADEN_WUERTTEMBERG,3,0,2,70000
Oldenburg (Oldb),NIEDERSACHSEN,3,1,1,65000
Potsdam,BRANDENBURG,3,1,0,
"Rosenheim, Oberbayern",BAYERN,3,2,0,
Stuttgart,,3,0,0,
Würzburg,BAYERN,3,0,0,
"Aalen, Württemberg",BADEN_WUERTTEMBERG,2,0,1,55000
"Augsburg, Bayern",BAYERN,2,0,1,
"Bad Grönenbach, Allgäu",BAYERN,2,0,0,
Bad Homburg vor der Höhe,HESSEN,2,0,0,
"Berlin, Berlin, Germany",,2,0,0,
Bielefeld,NORDRHEIN_WESTFALEN,2,0,1,45000
Böblingen,BADEN_WUERTTEMBERG,2,1,1,93050
Coburg,BAYERN,2,1,0,
Coesfeld,NORDRHEIN_WESTFALEN,2,1,0,
"Düsseldorf, North Rhine-Westphalia",,2,0,0,
Erfurt,THUERINGEN,2,2,0,
Espelkamp,NORDRHEIN_WESTFALEN,2,1,0,
"Essenbach, Niederbayern",BAYERN,2,0,0,
Garching bei München,BAYERN,2,1,0,
Gescher,NORDRHEIN_WESTFALEN,2,2,0,
"Gießen, Lahn",HESSEN,2,1,0,
Göttingen,NIEDERSACHSEN,2,0,0,
Kiel,SCHLESWIG_HOLSTEIN,2,1,1,40000
Laupheim,BADEN_WUERTTEMBERG,2,0,1,70000
Leinfelden-Echterdingen,BADEN_WUERTTEMBERG,2,0,1,60000
Leipzig,,2,1,0,
Lemwerder,NIEDERSACHSEN,2,0,1,70000
Leverkusen,NORDRHEIN_WESTFALEN,2,1,0,
Ludwigsfelde,BRANDENBURG,2,0,1,30000
Manching,BAYERN,2,0,0,
Mannheim,,2,0,0,
Massen bei Finsterwalde,BRANDENBURG,2,0,0,
Neuss,NORDRHEIN_WESTFALEN,2,1,0,
Nördlingen,BAYERN,2,0,0,
Paderborn,NORDRHEIN_WESTFALEN,2,0,0,
Pforzheim,BADEN_WUERTTEMBERG,2,2,0,
Pullach im Isartal,BAYERN,2,0,0,
Ratingen,NORDRHEIN_WESTFALEN,2,1,1,66000
Sankt Augustin,NORDRHEIN_WESTFALEN,2,0,0,
Sindelfingen,BADEN_WUERTTEMBERG,2,0,0,
Unknown,BADEN_WUERTTEMBERG,2,1,0,
Unterföhring,BAYERN,2,0,0,
Weil der Stadt,BADEN_WUERTTEMBERG,2,1,1,50000
Wiesbaden,HESSEN,2,0,0,
